SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22024,1610612748,MIA,Miami Heat,0022400159,2024-11-04,MIA vs. SAC,L,241,110,37,85,0.435,15,36,0.417,21,30,0.7,8,28,36,24,9,6,10,15,-1.0
22024,1610612758,SAC,Sacramento Kings,0022400159,2024-11-04,SAC @ MIA,W,240,111,44,86,0.512,10,27,0.37,13,15,0.867,11,28,39,23,5,4,12,28,1.0
22024,1610612741,CHI,Chicago Bulls,0022400160,2024-11-04,CHI vs. UTA,L,240,126,45,95,0.474,14,37,0.378,22,25,0.88,10,26,36,36,7,7,9,23,-9.0
22024,1610612762,UTA,Utah Jazz,0022400160,2024-11-04,UTA @ CHI,W,240,135,48,89,0.539,16,36,0.444,23,30,0.767,12,37,49,35,3,6,12,18,9.0
22024,1610612745,HOU,Houston Rockets,0022400161,2024-11-04,HOU vs. NYK,W,240,109,43,88,0.489,8,33,0.242,15,18,0.833,11,39,50,21,4,6,10,20,12.0
22024,1610612752,NYK,New York Knicks,0022400161,2024-11-04,NYK @ HOU,L,240,97,34,88,0.386,11,28,0.393,18,21,0.857,13,26,39,20,6,4,10,18,-12.0
22024,1610612750,MIN,Minnesota Timberwolves,0022400162,2024-11-04,MIN vs. CHA,W,239,114,39,79,0.494,18,38,0.474,18,26,0.692,9,36,45,23,7,8,15,19,21.0
22024,1610612766,CHA,Charlotte Hornets,0022400162,2024-11-04,CHA @ MIN,L,240,93,35,88,0.398,10,42,0.238,13,16,0.813,9,29,38,19,10,1,14,22,-21.0
22024,1610612753,ORL,Orlando Magic,0022400163,2024-11-04,ORL @ OKC,L,240,86,29,82,0.354,5,34,0.147,23,27,0.852,7,34,41,20,12,5,18,16,-16.0
22024,1610612760,OKC,Oklahoma City Thunder,0022400163,2024-11-04,OKC vs. ORL,W,240,102,39,85,0.459,12,31,0.387,12,16,0.75,5,37,42,23,12,4,15,21,16.0
22024,1610612740,NOP,New Orleans Pelicans,0022400164,2024-11-04,NOP vs. POR,L,241,100,38,84,0.452,10,35,0.286,14,16,0.875,10,24,34,24,5,3,12,20,-18.0
22024,1610612757,POR,Portland Trail Blazers,0022400164,2024-11-04,POR @ NOP,W,242,118,46,84,0.548,10,29,0.345,16,24,0.667,11,27,38,21,10,5,11,15,18.0
22024,1610612742,DAL,Dallas Mavericks,0022400165,2024-11-04,DAL vs. IND,L,240,127,46,89,0.517,15,36,0.417,20,25,0.8,5,33,38,29,4,3,8,18,-7.0
22024,1610612754,IND,Indiana Pacers,0022400165,2024-11-04,IND @ DAL,W,241,134,54,95,0.568,13,32,0.406,13,20,0.65,7,39,46,30,5,3,9,16,7.0
22024,1610612743,DEN,Denver Nuggets,0022400166,2024-11-04,DEN vs. TOR,W,240,121,41,83,0.494,10,31,0.323,29,38,0.763,14,30,44,29,9,10,17,21,2.0
22024,1610612761,TOR,Toronto Raptors,0022400166,2024-11-04,TOR @ DEN,L,240,119,47,103,0.456,13,39,0.333,12,18,0.667,14,27,41,38,12,3,13,27,-2.0
22024,1610612755,PHI,Philadelphia 76ers,0022400167,2024-11-04,PHI @ PHX,L,240,116,40,87,0.46,20,51,0.392,16,18,0.889,9,29,38,27,10,4,14,22,-2.0
22024,1610612756,PHX,Phoenix Suns,0022400167,2024-11-04,PHX vs. PHI,W,240,118,42,82,0.512,11,32,0.344,23,26,0.885,9,34,43,24,6,4,14,16,2.0
22024,1610612746,LAC,LA Clippers,0022400168,2024-11-04,LAC vs. SAS,W,239,113,41,90,0.456,19,37,0.514,12,17,0.706,16,28,44,25,6,7,10,21,9.0
22024,1610612759,SAS,San Antonio Spurs,0022400168,2024-11-04,SAS @ LAC,L,240,104,38,86,0.442,11,41,0.268,17,19,0.895,12,33,45,22,9,10,10,16,-9.0
22024,1610612765,DET,Detroit Pistons,0022400169,2024-11-06,DET @ CHA,L,241,107,46,94,0.489,10,32,0.313,5,9,0.556,6,40,46,34,5,4,10,20,-1.0
22024,1610612766,CHA,Charlotte Hornets,0022400169,2024-11-06,CHA vs. DET,W,241,108,39,90,0.433,14,44,0.318,16,16,1.0,8,39,47,22,5,4,12,16,1.0
22024,1610612753,ORL,Orlando Magic,0022400170,2024-11-06,ORL @ IND,L,239,111,42,82,0.512,7,25,0.28,20,26,0.769,10,28,38,26,6,5,16,22,-7.0
22024,1610612754,IND,Indiana Pacers,0022400170,2024-11-06,IND vs. ORL,W,239,118,41,76,0.539,12,26,0.462,24,26,0.923,4,32,36,21,7,3,11,24,7.0
22024,1610612737,ATL,Atlanta Hawks,0022400171,2024-11-06,ATL vs. NYK,W,240,121,45,100,0.45,15,38,0.395,16,22,0.727,16,32,48,31,12,4,8,14,5.0
