,TEAM_ABBREVIATION,PLAYER_NAME,SEASON_ID,GAME_ID,GAME_DATE,MATCHUP,converted_minutes,rolling_10_avg_minutes,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,rolling_10_avg_EFG_PCT,rolling_10_avg_FTA_RATE,rolling_10_avg_TM_TOV_PCT,rolling_10_avg_OREB_PCT,rolling_10_avg_OPP_EFG_PCT,rolling_10_avg_OPP_FTA_RATE,rolling_10_avg_OPP_TOV_PCT,rolling_10_avg_OPP_OREB_PCT,game_count
271,OKC,Lazar Hayward,22011,0021100706,2012-03-23,OKC vs. MIN,9.266666666666667,2.9949999999999997,0.375,,16.7,0.0,,,,,0.3333333333333333,,5.55,0.0,,,,,44
272,UTA,Jeremy Evans,22010,0021000707,2011-01-30,UTA @ GSW,5.033333333333333,4.6066666666666665,0.5,,0.0,0.143,,,,,0.4642857142857143,,14.285714285714286,0.0111,,,,,41
273,NYK,Lou Amundson,22014,0021400652,2015-01-24,NYK @ CHA,22.3,9.85,0.4,,7.1,0.217,,,,,0.25957142857142856,,19.557142857142857,0.059,,,,,32
274,DEN,Thomas Welsh,22018,0021800426,2018-12-14,DEN vs. OKC,0.6166666666666667,1.1966666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.1805,8.325,0.0,0.45825,0.5,0.11100000000000002,0.0,11
275,HOU,Aaron Holiday,22023,0022300603,2024-01-21,HOU vs. BOS,27.25,11.853333333333333,0.75,0.306,13.3,0.0,0.51,0.265,0.186,0.393,0.40020000000000006,0.3528,6.659999999999999,0.0083,0.5882,0.2551,0.12069999999999999,0.1945,41
276,DAL,Bernard James,22012,0021200768,2013-02-11,DAL vs. ATL,7.316666666666666,12.863333333333333,0.0,,0.0,0.0,,,,,0.559,,8.5375,0.09090000000000001,,,,,45
277,SAS,Blake Wesley,22023,0022300448,2023-12-31,SAS vs. BOS,16.583333333333332,3.058333333333333,0.0,0.086,9.1,0.05,0.607,0.25,0.2,0.231,0.3195,0.22966666666666669,0.0,0.0070999999999999995,0.672,0.08433333333333333,0.14666666666666667,0.2776666666666667,24
278,IND,Alize Johnson,22018,0021800391,2018-12-10,IND vs. WAS,0.0,1.7642857142857142,,,,0.0,,,,,0.125,0.375,0.0,0.0,0.3575,1.39175,0.13125,0.15,7
279,MEM,Nick Calathes,22014,0021400365,2014-12-16,MEM vs. GSW,0.0,4.241666666666666,,,,0.0,,,,,0.09999999999999999,,10.716666666666667,0.0245,,,,,10
280,MEM,Mike Miller,42013,0041300152,2014-04-21,MEM @ OKC,25.0,20.05,0.75,,0.0,0.0,,,,,0.25,,0.0,0.036,,,,,1
281,TOR,Scottie Barnes,22022,0022201206,2023-04-07,TOR @ BOS,29.8,29.351666666666667,0.3,0.264,12.5,0.0,0.6,0.32,0.229,0.417,0.4941111111111111,0.1875555555555556,7.599999999999999,0.054000000000000006,0.5391111111111111,0.24644444444444444,0.17355555555555557,0.2343333333333334,76
282,TOR,OG Anunoby,22018,0021800481,2018-12-22,TOR @ PHI,26.483333333333334,18.548333333333332,0.625,0.294,28.6,0.0,0.471,0.314,0.129,0.16,0.48039999999999994,0.21329999999999996,6.88,0.032100000000000004,0.5121999999999999,0.3577,0.1683,0.2061,28
