,PLAYER_NAME,minutes,points,assists,steals,blocks,rebounds,THREEPM,EFG_PCT,FT_PCT,DD
29277,David Roddy,31,10,4,2,1,3,2,0.455,,0
29278,Jaren Jackson Jr.,35,15,3,1,1,6,1,0.262,0.8,0
29279,John Konchar,30,11,2,1,1,10,1,0.786,,1
29280,Jacob Gilyard,23,6,7,1,0,0,2,0.6,,0
29281,Ziaire Williams,17,0,1,1,0,6,0,0.0,,0
29282,Scotty Pippen Jr.,24,15,6,0,0,6,1,0.786,1.0,0
29283,Xavier Tillman,18,6,1,1,3,4,1,1.25,0.5,0
29284,Santi Aldama,0,0,0,0,0,0,0,,,0
29285,Jake LaRavia,0,0,0,0,0,0,0,,,0
29286,Derrick Rose,0,0,0,0,0,0,0,,,0
29287,Jeremy Sochan,24,2,4,0,0,5,0,0.143,,0
29288,Victor Wembanyama,27,24,4,1,4,12,0,0.5,0.75,1
29289,Devin Vassell,34,21,7,0,1,5,1,0.679,1.0,0
29290,Blake Wesley,28,12,6,0,1,4,1,1.1,0.333,0
29291,Keldon Johnson,19,7,1,1,1,0,0,0.375,1.0,0
29292,Zach Collins,17,10,2,1,2,3,1,0.438,0.75,0
29293,Malaki Branham,27,11,2,2,1,3,1,0.7,1.0,0
29294,Cedi Osman,14,9,0,0,1,0,1,0.7,0.667,0
29295,Doug McDermott,17,8,3,0,0,1,2,0.667,,0
29296,Devonte' Graham,4,3,0,0,0,2,1,0.75,,0
29297,Luguentz Dort,25,2,1,2,1,3,0,0.167,,0
29298,Jalen Williams,29,13,7,2,0,5,1,0.542,,0
29299,Chet Holmgren,30,17,4,1,3,9,2,0.615,0.333,0
29300,Josh Giddey,22,12,4,0,0,8,0,0.462,,0
29301,Shai Gilgeous-Alexander,29,32,10,2,1,6,2,0.667,1.0,1
29302,Isaiah Joe,12,9,0,0,1,1,3,0.9,,0
29303,Jaylin Williams,11,6,0,0,0,4,2,1.0,,0
29304,Davis Bertans,5,3,1,1,0,0,1,1.5,,0
