,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0,0022000101,1610612758,Kings,SAC,Sacramento,240:00,0.433,0.433,0.135,0.177,0.644,0.144,0.099,0.128
1,0022000102,1610612751,Nets,BKN,Brooklyn,240:00,0.634,0.172,0.124,0.186,0.448,0.314,0.144,0.224
0,0022000102,1610612762,Jazz,UTA,Utah,240:00,0.448,0.314,0.144,0.155,0.634,0.172,0.124,0.233
1,0022000103,1610612747,Lakers,LAL,Los Angeles,240:00,0.489,0.126,0.17,0.18,0.471,0.149,0.129,0.167
0,0022000103,1610612763,Grizzlies,MEM,Memphis,240:00,0.471,0.149,0.129,0.093,0.489,0.126,0.17,0.28
1,0022000104,1610612743,Nuggets,DEN,Denver,240:00,0.57,0.57,0.153,0.222,0.522,0.297,0.131,0.25
0,0022000104,1610612750,Timberwolves,MIN,Minnesota,240:00,0.522,0.297,0.131,0.192,0.57,0.57,0.153,0.289
1,0022000105,1610612746,Clippers,LAC,LA,240:00,0.587,0.151,0.133,0.159,0.563,0.115,0.109,0.259
0,0022000105,1610612759,Spurs,SAS,San Antonio,240:00,0.563,0.115,0.109,0.204,0.587,0.151,0.133,0.205
1,0022000106,1610612741,Bulls,CHI,Chicago,240:00,0.527,0.198,0.146,0.216,0.516,0.181,0.107,0.241
